1066	1198	5.0
1158	143	4.0
1849	1141	4.0
1081	263	4.0
1579	1159	4.0
544	51	4.0
2451	763	5.0
1596	1113	5.0
2357	1577	2.0
876	1299	5.0
1286	1054	3.0
404	550	5.0
2886	1831	5.0
2363	1165	5.0
1340	1549	3.0
653	1285	5.0
1998	545	5.0
520	89	4.0
336	890	4.0
2617	931	5.0
910	1365	4.0
908	1356	4.0
156	516	3.0
21	1202	1.0
2311	944	4.0
2004	1524	3.0
1411	1198	5.0
1232	161	5.0
1953	815	1.0
1923	1088	3.0
2040	352	5.0
588	1727	2.0
2377	1482	5.0
1708	252	5.0
2707	855	5.0
1956	664	5.0
482	239	5.0
508	347	5.0
2642	1558	1.0
729	246	5.0
896	109	5.0
1168	145	3.0
2043	1089	5.0
1230	1382	5.0
2235	681	5.0
414	1232	5.0
198	581	4.0
900	538	5.0
2731	1656	5.0
486	847	4.0
1603	959	5.0
2155	398	5.0
2136	925	5.0
2556	1170	2.0
979	119	5.0
422	150	4.0
2605	751	4.0
1051	896	4.0
2453	1194	5.0
1035	1032	5.0
1110	134	4.0
2096	695	4.0
2861	1577	5.0
2738	1656	5.0
1352	1596	5.0
2545	843	5.0
235	880	5.0
932	819	4.0
1578	245	4.0
423	1554	4.0
797	477	5.0
454	396	5.0
1963	714	5.0
2547	866	5.0
693	1542	5.0
1990	335	5.0
1835	792	5.0
1855	285	5.0
2485	1378	5.0
2263	1165	5.0
996	789	4.0
639	486	5.0
1757	1497	3.0
236	19	4.0
218	588	4.0
1091	274	3.0
1375	189	5.0
2587	1656	5.0
1194	685	4.0
2492	705	5.0
1526	903	5.0
560	675	5.0
2472	1622	3.0
2092	1545	5.0
265	466	2.0
1090	1696	5.0
1220	602	5.0
1937	1329	5.0
2339	584	5.0
549	1385	4.0
2407	753	5.0
2369	687	5.0
862	102	4.0
16	1294	5.0
1597	1466	2.0
249	21	5.0
1235	1409	5.0
161	177	5.0
2286	524	5.0
1255	192	5.0
2336	791	5.0
38	23	2.0
40	1062	2.0
1832	1527	5.0
300	25	5.0
1266	1626	5.0
1160	1357	5.0
765	1120	5.0
2055	1815	5.0
2548	856	4.0
321	72	5.0
2439	584	4.0
2844	1197	5.0
611	1402	5.0
44	4	5.0
239	86	5.0
1588	1392	3.0
2558	1729	5.0
2805	1438	2.0
1223	1037	4.0
270	1434	5.0
2045	541	3.0
417	911	5.0
540	51	5.0
2887	1754	5.0
2064	867	4.0
860	1130	3.0
745	1030	3.0
618	1496	4.0
2037	351	4.0
854	333	5.0
1416	204	5.0
1049	388	5.0
585	323	4.0
99	920	4.0
174	866	5.0
2745	866	5.0
2139	398	5.0
1491	193	5.0
1987	1302	5.0
741	1366	5.0
334	1179	5.0
759	84	5.0
1651	819	5.0
1462	693	1.0
234	1385	4.0
592	1074	4.0
737	987	5.0
418	1294	5.0
125	579	5.0
2587	729	3.0
246	816	5.0
442	329	5.0
1651	240	4.0
632	924	3.0
