0	1774	4.0
0	991	5.0
0	1895	5.0
0	3796	5.0
0	9595	4.0
0	11257	5.0
0	4938	4.0
0	10615	5.0
0	11287	4.0
0	5287	4.0
0	10391	4.0
0	10531	5.0
0	10895	5.0
0	3063	5.0
0	657	3.0
0	10324	4.0
0	9640	4.0
0	9667	3.0
0	4897	4.0
0	5133	4.0
0	794	3.0
0	3995	5.0
0	2273	4.0
0	7683	5.0
0	5869	5.0
0	5253	5.0
0	10809	4.0
1	5763	5.0
1	3501	5.0
1	9465	4.0
1	11488	5.0
1	3670	4.0
1	9854	4.0
1	735	5.0
1	2621	5.0
1	2261	5.0
1	4938	5.0
1	2025	4.0
1	10554	2.0
1	3796	5.0
1	8054	4.0
1	1071	5.0
1	11097	5.0
1	1066	5.0
2	4777	3.0
2	3670	5.0
2	9147	4.0
2	9873	4.0
2	11376	4.0
2	10473	5.0
2	92	4.0
2	9307	5.0
2	9827	1.0
2	311	4.0
2	6294	4.0
2	1960	5.0
2	741	5.0
2	5425	4.0
2	7990	1.0
2	10102	4.0
2	7992	5.0
2	5361	5.0
2	1761	4.0
3	294	5.0
3	8000	4.0
3	2927	5.0
3	3068	4.0
3	11140	4.0
3	419	4.0
3	5015	4.0
3	11479	3.0
3	4719	4.0
3	8212	4.0
3	6221	5.0
3	8898	4.0
3	157	3.0
3	5484	5.0
3	11333	5.0
3	7818	5.0
3	6095	5.0
3	1320	5.0
3	7007	3.0
3	2632	4.0
3	4841	4.0
3	6557	4.0
3	4588	5.0
3	660	3.0
3	11429	5.0
3	3347	4.0
3	2710	4.0
3	8096	2.0
3	770	5.0
3	10796	4.0
3	5779	4.0
3	456	3.0
3	318	3.0
3	4174	5.0
3	10857	5.0
3	3203	4.0
3	11355	5.0
3	9107	5.0
3	2728	4.0
3	1379	4.0
3	4985	5.0
3	2937	4.0
3	9782	3.0
3	10939	5.0
3	3604	3.0
3	232	3.0
3	3277	4.0
3	5920	4.0
3	3921	3.0
3	10102	5.0
3	252	4.0
3	6922	5.0
3	7213	5.0
3	4412	4.0
3	1874	4.0
3	6454	5.0
3	7516	4.0
3	7341	4.0
3	826	4.0
3	1272	5.0
4	241	4.0
4	2961	5.0
4	2234	1.0
4	2279	3.0
4	4667	1.0
4	8792	2.0
4	6924	5.0
4	10753	2.0
4	9284	2.0
4	7483	1.0
4	11466	3.0
4	3501	4.0
4	1710	1.0
4	2452	1.0
5	4938	5.0
5	6153	4.0
5	4591	2.0
5	6323	4.0
5	770	5.0
5	93	5.0
5	2226	4.0
5	8000	4.0
5	2820	4.0
5	10972	3.0
5	10639	5.0
5	247	1.0
5	10720	4.0
5	256	1.0
5	1564	5.0
5	9432	4.0
5	3339	2.0
5	11047	1.0
5	7007	4.0
5	10213	5.0
5	9038	5.0
5	6023	1.0
5	120	5.0
5	9284	2.0
5	1369	4.0
5	10440	4.0
5	7402	4.0
5	403	3.0
5	9029	5.0
5	6852	4.0
5	232	2.0
5	7373	5.0
5	4285	2.0
5	7018	5.0
5	9588	2.0
5	8887	5.0
6	3089	5.0
6	6956	4.0
6	10753	4.0
6	1752	2.0
6	2244	4.0
6	6964	5.0
6	7344	4.0
6	116	4.0
6	4827	3.0
6	9466	3.0
6	4183	5.0
6	7368	3.0
6	4798	5.0
6	8297	3.0
6	7416	5.0
6	10776	3.0
6	6924	4.0
6	10499	3.0
7	7221	4.0
7	3538	2.0
7	5836	4.0
7	770	4.0
7	9907	4.0
7	6594	3.0
7	2210	5.0
7	5050	4.0
7	2262	4.0
7	5282	4.0
7	7450	5.0
